address,id,lon,lat
"11343 ALPHARETTA HWY , Atlanta GA",1,-84.3261216,34.0570846
"4365 BEST RD , Atlanta GA",2,-84.4585221,33.6364462
"7802 BISHOP RD , Atlanta GA",3,-84.4040441,33.7924964
"6110 BOAT ROCK RD , Atlanta GA",4,-84.5827599,33.7250018
"8105 CLECKLER RD , Atlanta GA",5,-84.6127805,33.5292909
"5377 FAIRBURN JONESBORO  , Atlanta GA",6,-84.553592,33.572151
"7390 GRAHAM RD , Atlanta GA",7,-84.5414232,33.5577583
"2055 HEMBREE RD , Atlanta GA",8,-84.3013965,34.0595633
"5000 JOSEPHINE DR , Atlanta GA",9,-84.3481445,33.7624773
"155 MANSELL PL , Atlanta GA",10,-84.3288761,34.0513005
"1375 OAKLEY INDUSTRIAL BLVD , Atlanta GA",11,-84.5877829,33.537784
"1050 OLD ELLIS RD , Atlanta GA",12,-84.3273963,34.0501644
"1150 OLD ELLIS RD , Atlanta GA",13,-84.3260392,34.0502492
"7055 ROOSEVELT HWY , Atlanta GA",14,-84.618311,33.542249
"4555 ROOSEVELT HWY , Atlanta GA",15,-84.5375699,33.6045894
"2510 WEST POINT RD , Atlanta GA",16,-84.4716712,33.6277256
Windward Parkway,17,-84.261038,34.086217
